"1","new","mới"
"2","company","công ty"
"3","Mr.","ông"
"4","year","năm"
"5","service","dịch vụ"
"6","please","vui lòng"
"7","customer","khách hàng"
"8","work","làm việc / công việc"
"9","email","thư điện tử"
"10","Ms.","bà"
"11","make","làm"
"12","more","thêm / nhiều hơn"
"13","time","thời gian / thời điểm"
"14","product","sản phẩm"
"15","business","kinh doanh / doanh nghiệp"
"16","day","ngày"
"17","employee","nhân viên"
"18","use","sử dụng"
"19","information","thông tin"
"20","member","thành viên"
"21","order","đơn hàng / đặt hàng"
"22","letter","lá thư"
"23","provide","cung cấp"
"24","date","ngày"
"25","receive","nhận"
"26","office","văn phòng"
"27","manage","quản lý"
"28","month","tháng"
"29","most","nhiều nhất / hầu hết"
"30","also","cũng"
"31","hotel","khách sạn"
"32","include","bao gồm"
"33","than","so với"
"34","only","chỉ"
"35","price","giá"
"36","purchase","mua"
"37","other","khác"
"38","week","tuần"
"39","thank","cám ơn"
"40","send","gửi"
"41","plan","kế hoạch / lên kế hoạch"
"42","open","mở"
"43","contact","liên lạc"
"44","change","thay đổi"
"45","add","thêm"
"46","store","cửa hàng"
"47","article","bài báo"
"48","call","gọi"
"49","schedule","lịch trình / lên lịch"
"50","event","sự kiện"
"51","first","đầu tiên / thứ nhất"
"52","center","trung tâm"
"53","free","miễn phí / tự do"
"54","ask","hỏi / yêu cầu"
"55","like","thích"
"56","next","tiếp theo"
"57","request","yêu cầu"
"58","job","việc làm / công việc"
"59","before","trước"
"60","department","bộ phận"
"61","after","sau"
"62","design","thiết kế"
"63","city","thành phố"
"64","number","số / số lượng"
"65","high","cao"
"66","need","cần"
"67","conference","hội nghị"
"68","know","biết"
"69","meeting","cuộc họp"
"70","give","đưa / đưa ra"
"71","special","đặc biệt"
"72","staff","nhân viên"
"73","room","phòng"
"74","announce","thông báo"
"75","website","trang web"
"76","write","viết"
"77","visit","ghé thăm / chuyến đi"
"78","hour","giờ"
"79","require","yêu cầu"
"80","help","giúp đỡ"
"81","because","bởi vì"
"82","increase","tăng"
"83","people","người"
"84","find","tìm thấy / cảm thấy"
"85","complete","hoàn thành / hoàn chỉnh"
"86","attend","tham dự"
"87","program","chương trình"
"88","book","sách"
"89","according to","theo như"
"90","many","nhiều"
"91","food","đồ ăn / thực phẩm"
"92","travel","đi lại / du lịch"
"93","last","vừa qua / trước"
"94","current","hiện tại"
"95","project","dự án"
"96","report","báo cáo"
"97","form","mẫu (đơn)"
"98","follow","theo sau / làm theo"
"99","area","khu vực"
"100","during","trong suốt"
"101","experience","kinh nghiệm"
"102","notice","chú ý / thông báo"
"103","team","đội / nhóm"
"104","pay","chi trả"
"105","cost (n)","chi phí"
"106","march","tháng Ba"
"107","computer","máy tính"
"108","come","đến"
"109","very","rất"
"110","june","tháng Sáu"
"111","see","xem / thấy"
"112","problem","vấn đề"
"113","deliver","giao (hàng...)"
"114","each","mỗi"
"115","want","muốn"
"116","start","bắt đầu"
"117","submit","nộp"
"118","large","lớn"
"119","home","nhà"
"120","say","nói"
"121","hope","hy vọng"
"122","there is","có"
"123","where","nơi nào / nơi mà"
"124","card","thẻ"
"125","register","đăng ký"
"126","expect","trông đợi"
"127","able","có thể"
"128","best","tốt nhất"
"129","ticket","vé"
"130","develop","phát triển"
"131","now","bây giờ"
"132","august","tháng Tám"
"133","director","giám đốc"
"134","april","tháng Tư"
"135","get","có được / lấy"
"136","name","tên"
"137","question","câu hỏi"
"138","july","tháng Bảy"
"139","much","nhiều"
"140","take","lấy / mang"
"141","ship","giao (hàng)"
"142","begin","bắt đầu"
"143","research","nghiên cứu"
"144","advertise","quảng cáo"
"145","charge","phí / tính phí"
"146","long","dài / lâu"
"147","return","trả lại / trở lại"
"148","hold","tổ chức"
"149","while","trong khi"
"150","review","xem lại / đánh giá"
"151","every","mỗi"
"152","mention","đề cập"
"153","system","hệ thống"
"154","class","lớp học"
"155","into","vào trong"
"156","training","đào tạo / huấn luyện"
"157","group","nhóm"
"158","restaurant","nhà hàng"
"159","health","sức khỏe"
"160","full","đầy đủ / toàn bộ"
"161","main","chính / chủ yếu"
"162","part","phần"
"163","read","đọc"
"164","construction","xây dựng"
"165","international","quốc tế"
"166","success","sự thành công"
"167","contract","hợp đồng"
"168","fee","khoản phí"
"169","quality","chất lượng"
"170","client","khách hàng"
"171","university","trường đại học"
"172","close","gần / gần gũi"
"173","within","trong vòng"
"174","repair","sửa chữa"
"175","september","tháng Chín"
"176","end","kết thúc / cuối"
"177","participate","tham gia"
"178","interview","buổi phỏng vấn"
"179","building","tòa nhà"
"180","however","tuy nhiên"
"181","student","sinh viên"
"182","list","danh sách / liệt kê"
"183","publish","xuất bản"
"184","result","kết quả"
"185","arrive","đến"
"186","both","cả hai"
"187","confirm","xác nhận"
"188","until","cho đến khi"
"189","inform","thông báo cho"
"190","technology","công nghệ"
"191","monday","thứ Hai"
"192","discuss","bàn bạc / thảo luận"
"193","just","chỉ / vừa mới"
"194","october","tháng Mười"
"195","good","tốt"
"196","car","xe hơi"
"197","let","cho / để"
"198","street","đường"
"199","hire","thuê"
"200","copy","bản sao / sao chép"
"201","few","ít / vài"
"202","important","quan trọng"
"203","small","nhỏ"
"204","magazine","tạp chí"
"205","art","nghệ thuật"
"206","address","địa chỉ"
"207","sell","bán"
"208","consider","xem xét"
"209","meet","gặp"
"210","water","nước"
"211","world","thế giới"
"212","apply","nộp đơn xin"
"213","equipment","thiết bị"
"214","trip","chuyến đi"
"215","account","tài khoản"
"216","great","tuyệt vời / rất lớn"
"217","opportunity","cơ hội"
"218","guest","khách"
"219","meaning","ý nghĩa"
"220","note","chú ý / ghi chú"
"221","photograph","bức ảnh"
"222","skill","kỹ năng"
"223","benefit","lợi ích / có lợi"
"224","rent","thuê"
"225","flight","chuyến bay"
"226","president","chủ tịch"
"227","airport","sân bay"
"228","accept","chấp nhận"
"229","january","tháng Một"
"230","improve","cải thiện"
"231","february","tháng Hai"
"232","allow","cho phép"
"233","support","hỗ trợ / ủng hộ"
"234","bring","mang"
"235","friday","thứ Sáu"
"236","become","trở nên"
"237","policy","chính sách"
"238","convenient","tiện lợi"
"239","museum","bảo tàng"
"240","december","tháng Mười Hai"
"241","tour","chuyến tham quan / du lịch"
"242","sure","chắc chắn / đảm bảo"
"243","choose","chọn"
"244","environment","môi trường"
"245","win","chiến thắng"
"246","november","tháng Mười Một"
"247","clean","sạch / làm sạch"
"248","buy","mua"
"249","between","giữa"
"250","park","công viên"
"251","bank","ngân hàng"
"252","different","khác"
"253","look forward","trông đợi"
"254","space","không gian / chỗ"
"255","build","xây dựng"
"256","in order to","để (làm gì đó)"
"257","electronic","điện tử"
"258","saturday","thứ Bảy"
"259","country","đất nước"
"260","personal","cá nhân"
"261","reduce","giảm"
"262","money","tiền"
"263","create","tạo ra"
"264","final","cuối cùng"
"265","introduce","giới thiệu"
"266","percent","phần trăm"
"267","expand","mở rộng"
"268","worker","công nhân / nhân viên"
"269","future","tương lai"
"270","again","một lần nữa / lại"
"271","serve","phục vụ"
"272","move","di chuyển / di dời"
"273","TRUE","đúng / thật sự"
"274","family","gia đình"
"275","past","qua / quá khứ"
"276","professional","chuyên nghiệp / người chuyên nghiệp"
"277","low","thấp"
"278","parking","đỗ xe"
"279","show","cho thấy"
"280","early","sớm"
"281","enjoy","tận hưởng / thích"
"282","print","in"
"283","although","mặc dù"
"284","today","hôm nay"
"285","seminar","hội thảo"
"286","document","tài liệu"
"287","regular","thường xuyên / thường"
"288","place","nơi / chỗ"
"289","safe","an toàn"
"290","soon","sớm"
"291","children","trẻ em"
"292","back","lại / trở lại"
"293","school","trường học"
"294","think","nghĩ"
"295","invest","đầu tư"
"296","limit","giới hạn"
"297","house","nhà"
"298","over","hơn"
"299","care","chăm sóc / quan tâm"
"300","minute","phút"
"301","keep","giữ"
"302","sales","doanh thu"
"303","since","từ khi"
"304","compete","cạnh tranh"
"305","total","tổng cộng"
"306","near","gần"
"307","produce","sản xuất / tạo ra"
"308","around","xung quanh / khoảng"
"309","close","đóng"
"310","bill","hóa đơn"
"311","attach","đính kèm"
"312","prepare","chuẩn bị"
"313","software","phần mềm"
"314","human","người"
"315","encourage","khuyến khích"
"316","hear","nghe"
"317","decide","quyết định (v)"
"318","join","gia nhập"
"319","there","ở đó"
"320","select","chọn"
"321","history","lịch sử"
"322","summer","mùa hè"
"323","stay","ở"
"324","check","kiểm tra / xem"
"325","ago","trước đây"
"326","same","cùng / giống nhau"
"327","learn","học"
"328","continue","tiếp tục"
"329","still","vẫn"
"330","telephone","điện thoại"
"331","nation","quốc gia"
"332","arrange","sắp xếp"
"333","news","tin tức"
"334","bus","xe buýt"
"335","under","dưới"
"336","page","trang"
"337","invite","mời"
"338","thursday","thứ Năm"
"339","feel","cảm thấy"
"340","message","tin nhắn"
"341","night","đêm"
"342","second","thứ hai"
"343","theater","nhà hát / rạp phim"
"344","tell","nói"
"345","old","cũ / lớn tuổi"
"346","necessary","cần thiết"
"347","amount","số lượng / khoản (tiền...)"
"348","presentation","buổi thuyến trình"
"349","library","thư viện"
"350","government","chính phủ"
"351","club","câu lạc bộ"
"352","road","đường"
"353","economy","kinh tế"
"354","way","cách"
"355","floor","tầng / sàn nhà"
"356","monthly","hàng tháng"
"357","sunday","Chủ Nhật"
"358","here","ở đây"
"359","organization","tổ chức"
"360","better","tốt hơn"
"361","shop","cửa hàng"
"362","shopping","mua sắm"
"363","level","mức độ / cấp độ"
"364","excellent","tuyệt vời"
"365","vehicle","xe"
"366","idea","ý tưởng"
"367","less","ít hơn"
"368","later","sau đó / trễ hơn"
"369","always","luôn luôn"
"370","machine","máy"
"371","describe","mô tả"
"372","morning","buổi sáng"
"373","immediately","ngay lập tức"
"374","install","lắp đặt / cài đặt"
"375","live","sống"
"376","enter","đi vào / đưa vào"
"377","without","không có"
"378","train","xe lửa"
"379","film","phim"
"380","coupon","phiếu giảm giá"
"381","size","kích thước / kích cỡ"
"382","accounting","kế toán"
"383","meal","bữa ăn"
"384","try","cố gắng / thử"
"385","cancel","hủy"
"386","drive","lái xe"
"387","vacation","kỳ nghỉ"
"388","complain","phàn nàn"
"389","reason","lí do"
"390","gift","quà tặng"
"391","sign","ký"
"392","spend","chi tiêu / dành (thời gian)"
"393","speak","nói / phát biểu"
"394","factory","nhà máy"
"395","welcome","chào đón"
"396","season","mùa"
"397","top","hàng đầu / trên cùng"
"398","appointment","cuộc hẹn"
"399","run","chạy"
"400","music","âm nhạc"
"401","air","không khí / hàng không"
"402","wednesday","thứ Tư"
"403","quickly","nhanh chóng"
"404","station","trạm / đài"
"405","attract","thu hút"
"406","weekend","cuối tuần"
"407","like","giống"
"408","well","tốt"
"409","activity","hoạt động"
"410","organize","tổ chức / sắp xếp"
"411","look for","tìm kiếm"
"412","tuesday","thứ Ba"
"413","then","sau đó"
"414","might","có thể"
"415","explain","giải thích"
"416","visitor","khách / du khách"
"417","display","trưng bày"
"418","believe","tin"
"419","delay","trì hoãn"
"420","wide","rộng"
"421","paper","giấy"
"422","strong","mạnh"
"423","test","kiểm tra"
"424","web","mạng"
"425","desk","cái bàn"
"426","life","cuộc sống / cuộc đời"
"427","leave","rời đi / rời khỏi"
"428","comment","lời bình"
"429","teach","dạy"
"430","book","đặt (phòng, vé...)"
"431","course","khóa học"
"432","lost","mất"
"433","late","trễ"
"434","decision","quyết định (n)"
"435","retire","về hưu"
"436","festival","lễ hội"
"437","tourist","khách du lịch"
"438","drink","uống / đồ uống"
"439","party","bữa tiệc"
"440","relations","quan hệ"
"441","America","nước Mỹ"
"442","someone","ai đó"
"443","garden","vườn"
"444","volunteer","người tình nguyện"
"445","person","người"
"446","responsible","chịu trách nhiệm"
"447","sport","thể thao"
"448","hospital","bệnh viện"
"449","happen","xảy ra"
"450","wish","muốn"
"451","down","xuống"
"452","too","quá"
"453","million","triệu"
"454","camera","máy ảnh / máy quay phim"
"455","Asia","châu Á"
"456","often","thường xuyên"
"457","answer","trả lời"
"458","demand","nhu cầu"
"459","put","đặt / để"
"460","happy","vui"
"461","front","trước"
"462","movie","bộ phim"
"463","seat","chỗ ngồi"
"464","protect","bảo vệ"
"465","difficult","khó khăn"
"466","talk","nói chuyện"
"467","kitchen","nhà bếp"
"468","lunch","bữa trưa"
"469","maintain","duy trì / bảo trì"
"470","easy","dễ dàng"
"471","away","xa"
"472","dinner","bữa tối"
"473","television / TV","truyền hình / tivi"
"474","wait","chờ"
"475","rise","tăng"
"476","avoid","tránh"
"477","understand","hiểu"
"478","color","màu sắc"
"479","deadline","hạn chót"
"480","goal","mục tiêu"
"481","post","đăng"
"482","contain","chứa đựng"
"483","agree","đồng ý"
"484","finish","hoàn thành"
"485","enough","đủ"
"486","newspaper","báo"
"487","look","nhìn"
"488","simple","đơn giản"
"489","performance","buổi biểu diễn"
"490","expensive","đắt tiền"
"491","afternoon","buổi chiều"
"492","menu","thực đơn"
"493","grow","gia tăng / phát triển"
"494","together","cùng / cùng nhau"
"495","coffee","cà phê"
"496","short","ngắn"
"497","branch","chi nhánh"
"498","real","thực sự"
"499","famous","nổi tiếng"
"500","daily","hàng ngày"
"501","weather","thời tiết"
"502","everyone","mọi người"
"503","advice","lời khuyên"
"504","friend","người bạn"
"505","friendly","thân thiện"
"506","big","lớn"
"507","never","không bao giờ"
"508","box","hộp"
"509","swimming pool","hồ bơi"
"510","outside","bên ngoài"
"511","salary","tiền lương"
"512","responsibility","trách nhiệm"
"513","fast","nhanh"
"514","anyone","bất kỳ ai"
"515","carefully","cẩn thận"
"516","style","phong cách"
"517","remind","nhắc nhở"
"518","ability","khả năng"
"519","adult","người lớn"
"520","cook","nấn ăn"
"521","save","tiết kiệm"
"522","a lot of","nhiều"
"523","clear","rõ ràng"
"524","game","trò chơi"
"525","graduate","tốt nghiệp"
"526","share","chia sẻ"
"527","walk","đi bộ"
"528","beautiful","đẹp"
"529","hold","giữ"
"530","yesterday","hôm qua"
"531","knowledge","kiến thức"
"532","table","cái bàn"
"533","picture","bức ảnh"
"534","holiday","kỳ nghỉ / lỳ lễ"
"535","culture","văn hóa"
"536","half","nửa"
"537","correct","đúng / chỉnh sửa"
"538","paint","sơn"
"539","usually","thường xuyên"
"540","last","cuối cùng"
"541","error","lỗi"
"542","comfortable","thoải mái"
"543","wedding","đám cưới"
"544","traveler","hành khách"
"545","printer","máy in"
"546","ready","sẵn sàng"
"547","everything","mọi thứ"
"548","clothing","quần áo"
"549","fashion","thời trang"
"550","topic","chủ đề"
"551","exercise","tập (thể dục)"
"552","sorry","xin lỗi / tiếc"
"553","eat","ăn"
"554","third","thứ ba / một phần ba"
"555","door","cửa"
"556","gym","phòng tập thể dục"
"557","wear","mặc / mang"
"558","young","trẻ"
"559","perfect","hoàn hảo"
"560","electricity","điện"
"561","evening","buổi tối"
"562","things","thứ / điều"
"563","men","đàn ông"
"564","stop","dừng / điểm dừng"
"565","breakfast","bữa sáng"
"566","reply","trả lời"
"567","cut","cắt / cắt giảm"
"568","step","bước"
"569","weekly","hàng tuần"
"570","suitable","phù hợp"
"571","search","tìm kiếm"
"572","play","chơi"
"573","right","đúng"
"574","dollar","đô la"
"575","opinion","ý kiến"
"576","seem","có vẻ như"
"577","cooperation","sự hợp tác"
"578","example","ví dụ"
"579","band","ban nhạc"
"580","resort","khu nghỉ mát"
"581","age","tuổi"
"582","on time","đúng giờ"
"583","little","ít"
"584","traffic","giao thông"
"585","key","chìa khóa / then chốt"
"586","prize","giải thưởng"
"587","woman","phụ nữ"
"588","mobile","di động"
"589","heavy","nặng / lớn"
"590","tomorrow","ngày mai"
"591","busy","bận rộn"
"592","bag","túi / túi xách"
"593","face","mặt / đối mặt"
"594","white","màu trắng"
"595","blue","xanh dương"
"596","advise","khuyên / thông báo"
"597","story","câu chuyện"
"598","useful","hữu ích"
"599","black","màu đen"
"600","river","con sông"
"601","depend","phụ thuộc"
"602","compare","so sánh"
"603","lake","hồ"
"604","wine","rượu vang"
"605","mistake","lỗi lầm / nhầm lẫn"
"606","farm","nông trại"
"607","mean","có nghĩa"
"608","hand","tay"
"609","brown","màu nâu"
"610","flower","hoa"
"611","image","hình ảnh"
"612","inside","bên trong"
"613","swimming","bơi"
"614","wash","giặt / rửa"
"615","hard","chăm chỉ"
"616","doctor","bác sĩ"
"617","discussion","buổi thảo luận"
"618","modern","hiện đại"
"619","action","hành động"
"620","mountain","ngọn núi"
"621","perform","biểu diễn"
"622","vegetables","rau"
"623","beside","bên cạnh"
"624","cake","bánh"
"625","fly","bay"
"626","winter","mùa đông"
"627","remember","nhớ"
"628","red","màu đỏ"
"629","behind","phía sau"
"630","boat","con thuyền"
"631","uniform","đồng phục"
"632","chair","ghế"
"633","automatic","tự động"
"634","congratulations","chúc mừng"
"635","watch","xem"
"636","way","đường"
"637","bed","cái giường"
"638","light","ánh sáng / đèn"
"639","foreign","nước ngoài"
"640","confident","tự tin"
"641","noon","trưa"
"642","password","mật khẩu"
"643","window","cửa sổ"
"644","United States","Mỹ"
"645","hot","nóng"
"646","fun","vui"
"647","teacher","giáo viên"
"648","himself","chính anh ấy / tự anh ấy"
"649","fan","người hâm mộ"
"650","beach","bãi biển"
"651","forget","quên"
"652","calendar","lịch"
"653","speed","tốc độ"
"654","study","học"
"655","cream","kem"
"656","body","cơ thể / thân"
"657","shoe","giày"
"658","fruit","trái cây"
"659","love","yêu thích / yêu thương"
"660","plane","máy bay"
"661","animal","động vật / con vật"
"662","parent","cha mẹ"
"663","cheap","rẻ"
"664","drop","giảm / rơi"
"665","trust","tin tưởng"
"666","wall","bức tường"
"667","green","xanh"
"668","back","phía sau"
"669","dry","khô"
"670","accident","tai nạn"
"671","sound","âm thanh"
"672","spring","mùa xuân"
"673","mind","tâm trí"
"674","tea","trà"
"675","truck","xe tải"
"676","far","xa"
"677","wish","chúc"
"678","island","hòn đảo"
"679","exit","lối ra"
"680","break","làm vỡ / phá vỡ"
"681","billion","một tỷ"
"682","stand","đứng"
"683","refrigerator","tủ lạnh"
"684","bike","xe đạp"
"685","fire","vụ cháy / chữa cháy"
"686","bedroom","phòng ngủ"
"687","fine","tốt"
"688","hello","chào"
"689","clothes","quần áo"
"690","hundred","một trăm"
"691","wrong","sai"
"692","Mrs.","bà"
"693","bad","xấu / tồi tệ"
"694","eye","mắt"
"695","cheese","phô mai"
"696","bicycle","xe đạp"
"697","star","ngôi sao"
"698","hard","khó"
"699","map","bản đồ"
"700","hair","tóc"
"701","cell phone","điện thoại di động"
"702","sea","biển"
"703","shirt","áo sơ mi"
"704","carry","mang / mang theo"
"705","twelve","mười hai"
"706","middle","giữa"
"707","sometimes","đôi khi"
"708","bathroom","phòng tắm"
"709","warm","ấm"
"710","nothing","không cái gì"
"711","lesson","bài học"
"712","actor","diễn viên"
"713","practice","luyện tập"
"714","rain","mưa"
"715","heart","trái tim"
"716","sit","ngồi"
"717","myself","chính tôi"
"718","miss","cô"
"719","thousand","một nghìn"
"720","too","cũng"
"721","rice","gạo"
"722","ourselves","chính chúng tôi"
"723","maximum","tối đa"
"724","kid","trẻ em"
"725","voice","giọng nói"
"726","quiet","yên tĩnh"
"727","apple","quả táo"
"728","turn off","tắt"
"729","alone","chỉ riêng / một mình"
"730","sun","mặt trời"
"731","listen","nghe"
"732","draw","vẽ"
"733","sick","bị bệnh"
"734","police","cảnh sát"
"735","anytime","bất kỳ lúc nào"
"736","zoo","sở thú"
"737","toy","đồ chơi"
"738","dream","ước mơ"
"739","T-shirt","áo thun"
"740","dish","đĩa"
"741","ship","thuyền"
"742","board","bảng"
"743","post office","bưu điện"
"744","kind","tử tế"
"745","let's","hãy"
"746","waste","lãng phí"
"747","tour guide","hướng dẫn viên du lịch"
"748","present","món quà"
"749","soft","mềm / nhẹ"
"750","press","ấn nút"
"751","miss","nhớ"
"752","right","bên phải"
"753","glass","cái ly"
"754","offer","cung cấp / đem lại"
"755","available","có"
"756","item","món hàng / món đồ"
"757","recent","gần đây / vừa rồi"
"758","local","địa phương"
"759","position","vị trí"
"760","sales","bán hàng"
"761","discount","giảm giá"
"762","advertisement","mẫu quảng cáo"
"763","indicate","chỉ ra"
"764","purpose","mục đích"
"765","finance","tài chính"
"766","line","dòng (sản phẩm, chữ)"
"767","interested","quan tâm"
"768","reserve","đặt (phòng, bàn...)"
"769","location","địa điểm"
"770","detail","chi tiết / nêu chi tiết"
"771","public","công chúng / công cộng"
"772","community","cộng đồng"
"773","market","thị trường / chợ"
"774","payment","thanh toán / tiền thanh toán"
"775","operate","hoạt động / vận hành"
"776","likely","có thể"
"777","recommend","đề nghị"
"778","industry","ngành"
"779","survey","khảo sát"
"780","facility","cơ sở"
"781","annual","hàng năm"
"782","promote","quảng bá / thúc đẩy"
"783","even","thậm chí"
"784","access","tiếp cận / truy cập"
"785","application","đơn xin"
"786","manufacture","sản xuất"
"787","due to","do"
"788","award","giải thưởng"
"789","replace","thay thế"
"790","possible","có thể"
"791","package","gói hàng / gói dịch vụ"
"792","several","một vài"
"793","session","buổi"
"794","material","vật liệu / tài liệu"
"795","resource","nguồn (lực, tài liệu...)"
"796","once","một khi / một lần"
"797","rate","giá / đánh giá"
"798","security","an ninh / an toàn"
"799","through","qua / thông qua"
"800","based","dựa trên / đặt"
"801","locate","đặt"
"802","exhibit","triển lãm"
"803","those","những người / những cái"
"804","previous","trước đây"
"805","take","tốn (thời gian)"
"806","propose","đề xuất"
"807","human resources","nhân sự"
"808","respond","trả lời / phản hồi"
"809","owner","người chủ"
"810","memo","thông báo"
"811","appreciate","cảm kích"
"812","compete","cạnh tranh"
"813","already","rồi"
"814","need","nhu cầu"
"815","mail","thư (bưu điện)"
"816","resident","người dân"
"817","suggest","đề xuất"
"818","enclose","đính kèm"
"819","representative","người đại diện"
"820","least","ít nhất"
"821","workshop","hội thảo"
"822","firm","công ty"
"823","employ","tuyển dụng"
"824","show","buổi diễn / triển lãm / chương trình"
"825","refund","tiền hoàn lại"
"826","process","quy trình"
"827","résumé","sơ yếu lý lịch"
"828","transport","vận chuyển"
"829","supplies","vật dụng"
"830","assistant","trợ lý"
"831","damage","thiệt hại"
"832","conduct","tiến hành"
"833","candidate","ứng cử viên"
"834","directly","trực tiếp"
"835","since","bởi vì"
"836","regarding","về (=about)"
"837","original","ban đầu"
"838","experience","trải nghiệm / trải qua"
"839","production","việc sản xuất / sản lượng"
"840","assist","hỗ trợ"
"841","applicant","người nộp đơn"
"842","upcoming","sắp diễn ra"
"843","fill out / fill in","điền"
"844","popular","phổ biến"
"845","place","đặt"
"846","renovate","tân trang"
"847","consulting","việc tư vấn"
"848","among","giữa"
"849","warranty","bảo hành"
"850","fund","quỹ"
"851","update","cập nhật"
"852","option","sự lựa chọn"
"853","present","trình bày / xuất trình / trao"
"854","profit","lợi nhuận"
"855","further","thêm"
"856","apartment","căn hộ"
"857","insurance","bảo hiểm"
"858","such as","như là"
"859","over","trong vòng"
"860","prefer","ưa thích hơn"
"861","instruction","sự hướng dẫn"
"862","career","sự nghiệp"
"863","ensure","đảm bảo"
"864","feature (v)","có / bao gồm"
"865","effective","hiệu quả"
"866","type","loại"
"867","supply","cung cấp"
"868","renew","gia hạn"
"869","airline","hãng hàng không"
"870","board","ban"
"871","whether","liệu... hay không / bất kể"
"872","potential","có tiềm năng"
"873","consumer","người tiêu dùng"
"874","head","người đứng đầu"
"875","meet","đáp ứng"
"876","period","khoản thời gian"
"877","condition","điều kiện"
"878","concern","sự lo lắng"
"879","efficient","hiệu quả"
"880","advance","trước"
"881","agency","công ty"
"882","budget","ngân sách"
"883","contribute","đóng góp"
"884","as well as","cũng như"
"885","energy","năng lượng"
"886","depart","khởi hành"
"887","issue","vấn đề"
"888","below","bên dưới"
"889","variety","sự đa dạng"
"890","subscription","việc đặt báo, tạp chí..."
"891","model","mẫu sản phẩm"
"892","hall","hội trường"
"893","supervisor","người giám sát"
"894","remain","vẫn còn / vẫn luôn"
"895","estimate","ước tính"
"896","approve","chấp thuận"
"897","sample","mẫu / mẫu thử"
"898","therefore","vì vậy"
"899","property","bất động sản / nhà / đất"
"900","cause","gây ra"
"901","individual","cá nhân"
"902","as soon as","ngay khi"
"903","extra","thêm"
"904","along","dọc theo"
"905","passenger","hành khách"
"906","distribute","phân phối / phân phát"
"907","probably","có thể"
"908","throughout","xuyên suốt / khắp"
"909","CEO","tổng giám đốc"
"910","apply","áp dụng"
"911","yet","vẫn chưa"
"912","region","vùng"
"913","specific","cụ thể"
"914","set","thiết lập / cài đặt / sắp đặt"
"915","field","lĩnh vực"
"916","pick up","lấy / đón"
"917","lead","dẫn / dẫn dắt"
"918","satisfy","thỏa mãn"
"919","maintenance","việc bảo trì"
"920","instead","thay vì / thay vì vậy"
"921","degree","tấm bằng"
"922","strategy","chiến lược"
"923","notify","thông báo cho"
"924","kind","loại"
"925","receipt","biên nhận"
"926","study","nghiên cứu"
"927","performance","hiệu suất"
"928","leave","để lại / để cho"
"929","sign up","đăng ký"
"930","upon","vào lúc"
"931","personnel","nhân sự"
"932","exchange","đổi"
"933","furniture","đồ nội thất"
"934","concert","buổi hòa nhạc"
"935","though","mặc dù"
"936","take place","diễn ra"
"937","significant","đáng kể"
"938","expenses","chi phí"
"939","retail","bán lẻ"
"940","process","xử lý"
"941","latest","mới nhất"
"942","value","giá trị"
"943","either","một trong hai"
"944","solution","giải pháp"
"945","method","phương pháp"
"946","permit","cho phép / giấy phép"
"947","case","trường hợp"
"948","technical","kỹ thuật"
"949","record","hồ sơ / ghi nhận"
"950","apologize","xin lỗi"
"951","standard","tiêu chuẩn"
"952","seek","tìm kiếm"
"953","file","tập tin / hồ sơ"
"954","raise","tăng / quyên góp"
"955","unfortunately","không may"
"956","despite","mặc cho"
"957","goods","hàng hóa"
